matcher,metric,spearman_rho,p_value,n_datasets,abs_rho,n_tests,p_bonferroni,survives_bonferroni,p_fdr,survives_fdr
paris,property_distribution.pair.mean_rel_entropy_norm,-0.8470588235294119,3.468046484915084e-05,16,0.8470588235294119,48,0.0016646623127592403,True,0.0016646623127592403,True
paris,degree_distribution.pair.mean_total_degree,0.42352941176470593,0.10210932208599749,16,0.42352941176470593,48,1.0,False,0.326749830675192,False
paris,degree_distribution.pair.min_median_total_degree,0.3950280227017628,0.12994570212123963,16,0.3950280227017628,48,1.0,False,0.3669055118717354,False
paris,degree_distribution.pair.mean_degree_gini,-0.38823529411764707,0.1372816236727813,16,0.38823529411764707,48,1.0,False,0.36608432979408345,False
paris,attribute_completeness.pair.mean_attr_per_entity,0.3,0.2589364525624988,16,0.3,48,1.0,False,0.46033147122222007,False
paris,attribute_completeness.pair.min_share_entities_with_attribute,0.29705882352941176,0.26386301461352274,16,0.29705882352941176,48,1.0,False,0.45233659648032465,False
paris,alignment_reachability.share_pairs_both_in_lcc,0.2764705882352941,0.29994212849237334,16,0.2764705882352941,48,1.0,False,0.49645593681496275,False
paris,connectivity.pair.min_share_largest_cc,0.2588235294117647,0.3330723066336084,16,0.2588235294117647,48,1.0,False,0.5329156906137734,False
structural_propagation,property_distribution.pair.mean_rel_entropy_norm,-0.7235294117647059,0.001534481189823956,16,0.7235294117647059,48,0.07365509711154988,False,0.03682754855577494,True
structural_propagation,degree_distribution.pair.min_median_total_degree,0.6794481990470319,0.0037908308618865463,16,0.6794481990470319,48,0.18195988137055422,False,0.045489970342638554,True
structural_propagation,degree_distribution.pair.mean_total_degree,0.6764705882352942,0.004008252390209358,16,0.6764705882352942,48,0.1923961147300492,False,0.03847922294600984,True
structural_propagation,alignment_reachability.share_pairs_both_in_lcc,0.6235294117647059,0.009855650390922004,16,0.6235294117647059,48,0.4730712187642562,False,0.07884520312737603,False
structural_propagation,connectivity.pair.min_share_largest_cc,0.6088235294117647,0.012315203198246461,16,0.6088235294117647,48,0.5911297535158302,False,0.0844471076451186,False
structural_propagation,degree_distribution.pair.mean_degree_gini,-0.5941176470588235,0.015232400876327995,16,0.5941176470588235,48,0.7311552420637437,False,0.09139440525796796,False
structural_propagation,attribute_completeness.pair.min_share_entities_with_attribute,0.55,0.027293972709730583,16,0.55,48,1.0,False,0.1310110690067068,False
structural_propagation,degree_distribution.kg1.powerlaw_alpha,-0.5323529411764706,0.03376862296023464,16,0.5323529411764706,48,1.0,False,0.1473539910992057,False
value_overlap,basic_stats.pair.n_triples_total,-0.6970588235294117,0.0026905894025605944,16,0.6970588235294117,48,0.12914829132290853,False,0.04304943044096951,True
value_overlap,schema_heterogeneity.property_jaccard,0.5529235366901802,0.026320292866513505,16,0.5529235366901802,48,1.0,False,0.140374895288072,False
value_overlap,aligned_consistency.degree_spearman,0.5029411764705883,0.04706314046727303,16,0.5029411764705883,48,1.0,False,0.1613593387449361,False
value_overlap,attribute_completeness.pair.mean_share_literals_text,-0.34705882352941175,0.18783442010629955,16,0.34705882352941175,48,1.0,False,0.4745290613211778,False
value_overlap,basic_stats.kg1.attr_to_rel_ratio,0.3382352941176471,0.20006555877868962,16,0.3382352941176471,48,1.0,False,0.4801573410688551,False
value_overlap,attribute_completeness.pair.min_share_entities_with_attribute,-0.33529411764705885,0.20425458084551504,16,0.33529411764705885,48,1.0,False,0.4668676133611772,False
value_overlap,alignment_reachability.share_pairs_both_in_lcc,-0.33529411764705885,0.20425458084551504,16,0.33529411764705885,48,1.0,False,0.44564635820839643,False
value_overlap,connectivity.pair.min_share_largest_cc,-0.31764705882352945,0.2305734636218452,16,0.31764705882352945,48,1.0,False,0.4611469272436904,False
